prov_code,capital,provincia,pop2011,lat,long,XUTM_ETRS89,YUTM_ETRS89,altitud,huso
15,A Coruña,A Coruña,246.047,43.37012643,-8.39114853,549327.6194,4802098.0233,21,29
2,Albacete,Albacete,170.475,38.99588053,-1.85574745,599089.9661,4316942.1205,681,30
3,Alicante / Alacant,Alicante / Alacant,334.418,38.34548705,-0.4831832,719945.5478,4247146.7427,5,30
4,Almería,Almería,190.013,36.83892362,-2.46413188,547780.0222,4077137.8536,16,30
5,Ávila,Ávila,58.245,40.65586958,-4.69771277,356476.5099,4501942.0302,1.131,30
6,Badajoz,Badajoz,150.376,38.87874339,-6.97099704,676002.2944,4305277.2647,182,29
8,Barcelona,Barcelona,1.619.337,41.38424664,2.17634927,431133.2564,4581740.7668,13,31
48,Bilbao,Vizcaya,353.187,43.25721957,-2.92390606,506176.3571,4789382.0463,6,30
9,Burgos,Burgos,178.574,42.34113004,-3.70419805,441992.3778,4687892.739,859,30
10,Cáceres,Cáceres,94.179,39.47316762,-6.37121092,726122.9523,4372585.6206,457,29
11,Cádiz,Cádiz,125.826,36.52171152,-6.28414575,743177.9155,4045247.849,13,29
12,Castellón de la Plana / Castelló de la Plana,Castellón / Castelló,180.690,39.98640809,-0.03688142,753000.9117,4430454.7091,27,30
51,Ceuta,Ceuta,80.579,35.88810209,-5.30675127,291786.944,3973995.22,27,30
13,Ciudad Real,Ciudad Real,74.345,38.98651781,-3.93131981,419339.3341,4315692.9053,625,30
14,Córdoba,Córdoba,328.547,37.87954225,-4.78032455,343430.6718,4193943.9558,106,30
16,Cuenca,Cuenca,56.189,40.07653762,-2.13152306,574050.5872,4436613.5367,997,30
17,Girona,Girona,96.236,41.98186075,2.82411899,485429.8147,4647777.2059,69,31
18,Granada,Granada,239.154,37.17641932,-3.60001883,446736.0152,4114611.9642,684,30
19,Guadalajara,Guadalajara,83.789,40.63435548,-3.16210273,486291.8478,4498180.9707,685,30
21,Huelva,Huelva,149.310,37.26004113,-6.95040588,681752.3578,4125688.858,24,29
22,Huesca,Huesca,52.347,42.14062739,-0.40842276,714162.4563,4668641.0113,483,30
23,Jaén,Jaén,116.790,37.7651913,-3.7903594,430387.3289,4180057.0833,570,30
35,Las Palmas de Gran Canaria,Las Palmas,383.308,28.099378545,-15.413368411,459392,3108324,6,28
24,León,León,134.012,42.59912097,-5.56707631,289400.7177,4719493.8849,837,30
25,Lleida,Lleida,137.387,41.61527355,0.62061934,301756.0344,4609796.5277,167,31
26,Logroño,La Rioja,152.650,42.46644945,-2.44565538,545572.7602,4701716.5343,384,30
27,Lugo,Lugo,97.635,43.0091282,-7.55817392,617504.3521,4762837.0684,452,29
28,Madrid,Madrid,3.273.049,40.40841191,-3.68760088,441657.5389,4473315.4886,657,30
29,Málaga,Málaga,568.507,36.72034267,-4.41997511,373191.2652,4064789.4506,8,30
52,Melilla,Melilla,76.034,35.294731,-2.942281,505248,3905730,30,30
30,Murcia,Murcia,441.345,37.98436361,-1.1285408,664351.156,4205732.3913,42,30
32,Ourense,Ourense,108.673,42.33654919,-7.86368375,593610.0865,4687769.2061,138,29
33,Oviedo,Asturias,225.155,43.36232165,-5.84372206,269573.9336,4804979.1792,231,30
34,Palencia,Palencia,82.169,42.0078373,-4.53460106,372921.9727,4651785.4474,734,30
7,Palma,Illes Balears,404.681,39.57114699,2.65181698,470094.0764,4380218.3807,24,31
31,Pamplona / Iruña,Navarra,197.488,42.814102,-1.6451528,610764.5012,4741061.594,450,30
36,Pontevedra,Pontevedra,81.981,42.43381442,-8.64799018,528953.786,4698003.9828,16,29
37,Salamanca,Salamanca,154.462,40.96736822,-5.66538084,275715.3682,4538556.2664,798,30
20,San Sebastián / Donostia,Gipuzkoa,185.506,43.31717158,-1.98191785,582554.3591,4796540.3403,7,30
38,Santa Cruz de Tenerife,Santa Cruz de Tenerife,222.643,28.462854082,-16.247206286,377889,3149155,1,28
39,Santander,Cantabria,181.589,43.46297885,-3.80474784,434900.8456,4812544.3927,8,30
40,Segovia,Segovia,55.748,40.9498703,-4.12524116,405292.9612,4533801.7656,1.002,30
41,Sevilla,Sevilla,704.198,37.38620512,-5.99251368,235058.6903,4141919.9504,11,30
42,Soria,Soria,39.838,41.76327912,-2.46624798,544367.5995,4623631.5681,1.061,30
43,Tarragona,Tarragona,140.184,41.11910287,1.2584219,353791.5075,4553440.2982,69,31
44,Teruel,Teruel,35.241,40.34412951,-1.10927177,660583.674,4467668.9859,915,30
45,Toledo,Toledo,82.489,39.85715187,-4.02431421,412382.0803,4412404.634,516,30
46,Valencia,Valencia / València,809.267,39.47534441,-0.37565717,725733.4023,4372816.0954,16,30
47,Valladolid,Valladolid,315.522,41.65232777,-4.72334924,356499.4918,4612610.279,690,30
1,Vitoria-Gasteiz,Álava,238.247,42.85058789,-2.67275685,526737.5988,4744274.9809,539,30
49,Zamora,Zamora,65.998,41.49913956,-5.75494831,270050.3784,4597833.3219,649,30
50,Zaragoza,Zaragoza,675.121,41.65645655,-0.87928652,676578.7253,4613806.7086,208,30
