iter	Passed	Remaining
0	240	72014
1	379	56486
2	501	49685
3	620	45918
4	741	43729
5	859	42099
6	976	40870
7	1095	39991
8	1217	39365
9	1336	38767
10	1456	38257
11	1577	37854
12	1695	37420
13	1821	37218
14	1941	36897
15	2065	36656
16	2195	36556
17	2359	36957
18	2475	36610
19	2614	36608
20	2732	36298
21	2848	35999
22	2967	35738
23	3104	35698
24	3230	35539
25	3346	35271
26	3462	35013
27	3580	34786
28	3701	34585
29	3821	34396
30	3937	34171
31	4055	33965
32	4172	33756
33	4288	33550
34	4407	33368
35	4522	33168
36	4640	32985
37	4756	32793
38	4876	32632
39	5000	32501
40	5118	32333
41	5242	32206
42	5363	32055
43	5483	31904
44	5609	31784
45	5731	31646
46	5852	31504
47	5974	31366
48	6097	31236
49	6218	31093
50	6341	30960
51	6481	30909
52	6651	30996
53	6814	31044
54	6986	31120
55	7272	31686
56	7414	31607
57	7543	31474
58	7708	31486
59	7821	31285
60	7935	31090
61	8065	30961
62	8200	30848
63	8375	30885
64	8488	30690
65	8716	30902
66	8859	30810
67	9012	30748
68	9171	30703
69	9323	30632
70	9512	30679
71	9676	30642
72	9828	30564
73	9966	30439
74	10093	30281
75	10211	30096
76	10322	29894
77	10459	29768
78	10575	29585
79	10688	29392
80	10801	29203
81	10912	29010
82	11026	28827
83	11137	28639
84	11253	28464
85	11367	28285
86	11484	28117
87	11641	28045
88	11800	27976
89	11953	27890
90	12103	27799
91	12251	27698
92	12387	27572
93	12534	27470
94	12692	27389
95	12838	27282
96	12990	27186
97	13130	27064
98	13287	26976
99	13445	26890
100	13618	26831
101	13797	26783
102	13932	26647
103	14080	26536
104	14250	26465
105	14412	26378
106	14552	26249
107	14713	26156
108	14861	26042
109	15013	25932
110	15178	25844
111	15339	25747
112	15481	25619
113	15635	25510
114	15778	25383
115	15922	25256
116	16077	25147
117	16222	25020
118	16374	24906
119	16507	24761
120	16644	24622
121	16818	24538
122	16976	24429
123	17122	24303
124	17266	24172
125	17432	24072
126	17579	23947
127	17738	23835
128	17899	23727
129	18042	23594
130	18175	23448
131	18311	23306
132	18461	23180
133	18597	23038
134	18727	22889
135	18865	22749
136	19016	22625
137	19171	22505
138	19316	22373
139	19467	22248
140	19636	22142
141	19816	22048
142	19947	21900
143	20106	21781
144	20267	21665
145	20413	21532
146	20579	21419
147	20751	21312
148	20904	21185
149	21052	21052
150	21197	20916
151	21344	20782
152	21498	20655
153	21643	20519
154	21788	20382
155	21941	20253
156	22088	20118
157	22240	19988
158	22393	19858
159	22528	19712
160	22686	19586
161	22818	19437
162	22977	19312
163	23130	19181
164	23266	19036
165	23432	18915
166	23600	18795
167	23795	18696
168	23956	18570
169	24095	18425
170	24249	18293
171	24440	18188
172	24582	18045
173	24735	17911
174	24880	17771
175	25035	17638
176	25189	17504
177	25321	17355
178	25478	17222
179	25617	17078
180	25744	16925
181	25891	16786
182	26018	16634
183	26159	16491
184	26294	16345
185	26422	16194
186	26548	16042
187	26679	15893
188	26807	15744
189	26939	15596
190	27071	15449
191	27209	15305
192	27371	15174
193	27513	15032
194	27671	14899
195	27813	14758
196	27953	14615
197	28087	14469
198	28235	14330
199	28411	14205
200	28545	14059
201	28708	13927
202	28883	13801
203	29032	13662
204	29177	13521
205	29329	13383
206	29502	13254
207	29649	13114
208	29784	12968
209	29942	12832
210	30120	12704
211	30285	12571
212	30440	12433
213	30566	12283
214	30726	12147
215	30891	12013
216	31050	11876
217	31197	11734
218	31362	11599
219	31516	11460
220	31672	11321
221	31797	11172
222	31981	11043
223	32147	10907
224	32304	10768
225	32454	10626
226	32598	10483
227	32753	10343
228	32891	10197
229	33039	10055
230	33188	9913
231	33330	9769
232	33469	9624
233	33600	9476
234	33746	9334
235	33883	9188
236	34028	9045
237	34188	8906
238	34320	8759
239	34450	8612
240	34584	8466
241	34723	8322
242	34879	8181
243	35024	8038
244	35227	7908
245	35391	7768
246	35529	7623
247	35674	7480
248	35825	7337
249	36004	7200
250	36166	7060
251	36312	6916
252	36439	6769
253	36592	6626
254	36754	6486
255	36913	6344
256	37055	6199
257	37213	6057
258	37341	5911
259	37496	5768
260	37642	5624
261	37787	5480
262	37919	5334
263	38065	5190
264	38198	5045
265	38338	4900
266	38473	4755
267	38629	4612
268	38771	4468
269	38917	4324
270	39064	4180
271	39211	4036
272	39360	3892
273	39507	3748
274	39660	3605
275	39811	3461
276	39955	3317
277	40099	3173
278	40235	3028
279	40394	2885
280	40528	2740
281	40669	2595
282	40805	2451
283	40986	2309
284	41133	2164
285	41270	2020
286	41401	1875
287	41553	1731
288	41695	1587
289	41828	1442
290	41967	1297
291	42107	1153
292	42268	1009
293	42427	865
294	42572	721
295	42713	577
296	42850	432
297	42985	288
298	43177	144
299	43351	0
